# {"t_start": 1657297449.556846, "env_id": null} 
r,l,t
0,1,3.258175
0,4,3.267109
1,1,3.269701
1,3,3.275105
1,1,3.277108
0,1,3.279107
0,3,3.284106
1,1,3.285107
0,4,3.292112
1,1,3.294107
1,1,3.29549
0,2,3.299155
1,1,3.301105
1,1,3.302114
1,2,3.30611
1,1,3.30811
0,1,3.310161
1,2,3.314107
0,1,3.316154
0,3,3.322105
0,3,3.327107
0,2,3.331165
0,3,3.336115
0,2,3.339111
0,1,3.341165
0,2,3.34518
0,4,3.352106
1,2,3.355154
0,2,3.359151
0,1,3.360108
1,1,3.362109
0,2,3.365106
0,2,3.369116
0,2,3.372107
1,1,3.37411
0,1,3.375163
1,3,3.381151
0,2,3.384109
0,1,3.38517
0,1,3.387109
1,1,3.389164
0,1,3.391162
0,1,3.393123
0,3,3.401154
0,3,3.406151
0,1,3.407153
0,3,3.413115
1,1,3.415108
0,3,3.420106
1,2,3.423107
0,2,3.427574
0,2,3.431106
0,1,3.433107
1,5,3.441113
1,1,3.443161
1,1,3.445468
1,1,3.447162
0,1,3.449154
0,3,3.454164
0,1,3.45611
0,1,3.466105
0,4,3.473102
0,1,3.475105
1,1,3.476103
0,1,3.478473
0,2,3.482115
0,3,3.487215
0,1,3.489116
0,3,3.494154
0,1,3.496109
0,1,3.498106
0,3,3.504107
0,1,3.506153
0,2,3.50911
1,1,3.510145
1,2,3.513261
1,2,3.516103
1,3,3.519106
0,2,3.521106
0,3,3.524466
0,2,3.527106
0,2,3.53011
0,3,3.535161
0,2,3.538251
0,1,3.540115
1,1,3.543105
1,1,3.546108
1,1,3.548115
0,3,3.553105
0,1,3.555152
0,1,3.556113
0,1,3.558107
0,1,3.559107
0,2,3.562108
0,3,3.568107
1,1,3.569117
0,1,3.571107
1,1,3.572116
1,1,3.57411
0,1,3.576107
1,1,3.577108
0,1,3.579106
0,3,3.583878
0,1,3.585909
1,2,3.588823
0,1,3.589863
0,1,3.591826
0,2,3.595189
0,9,3.614861
0,3,3.620864
0,2,3.623821
0,2,3.626821
1,1,3.628822
0,2,3.631818
1,3,3.63728
1,1,3.638872
1,1,3.639893
1,1,3.641826
0,2,3.645404
1,1,3.646817
0,2,3.649816
0,1,3.650814
0,1,3.652817
0,1,3.654817
1,1,3.656819
1,1,3.658822
0,2,3.664821
0,5,3.673876
0,3,3.679819
0,2,3.682863
1,1,3.683863
0,1,3.685826
0,1,3.686833
1,3,3.691819
0,4,3.698818
1,1,3.700863
0,2,3.703829
1,1,3.705818
0,2,3.708822
1,2,3.711929
1,3,3.716818
0,3,3.721818
1,1,3.723863
0,5,3.731826
0,2,3.734822
0,1,3.736863
0,1,3.73982
0,2,3.743824
0,3,3.748818
0,2,3.751817
0,2,3.754866
0,2,3.75887
1,2,3.761817
1,1,3.763867
1,1,3.764966
0,3,3.769819
0,1,3.771818
0,1,3.772822
0,4,3.779875
0,4,3.785822
0,2,3.796894
0,1,3.799042
1,1,3.8009
0,1,3.802942
0,4,3.808894
0,1,3.810895
1,1,3.812104
0,1,3.813899
1,1,3.81594
0,1,3.816898
1,1,3.818898
0,2,3.821895
0,1,3.823942
0,3,3.829895
0,2,3.834906
0,1,3.836916
0,1,3.837895
1,2,3.841895
1,2,3.844898
1,1,3.846941
0,2,3.849894
0,2,3.853904
0,2,3.856902
0,1,3.858903
1,1,3.86094
1,1,3.86354
1,1,3.865057
1,4,3.873893
0,2,3.876945
0,3,3.881905
0,2,3.884937
0,5,3.893894
0,1,3.894991
1,8,3.908951
1,1,3.91094
0,1,3.912057
0,1,3.913895
0,2,3.916951
0,1,3.918942
0,1,3.919951
0,2,3.922895
0,2,3.926898
1,1,3.928765
1,1,3.929901
1,1,3.930949
0,1,3.932894
0,1,3.934895
0,2,3.937895
0,1,3.940896
0,1,3.942971
1,1,3.945897
0,1,3.947899
0,2,3.953303
0,1,3.954897
1,3,3.95994
0,2,3.963939
1,1,3.964938
0,3,3.969942
0,3,3.975896
0,2,3.978901
0,2,3.981949
0,3,3.986949
0,3,3.992901
0,3,3.999894
1,4,4.006892
0,1,4.007892
1,2,4.010893
1,1,4.01189
1,4,4.017935
0,1,4.019511
1,1,4.020938
0,1,4.021896
0,1,4.022933
0,1,4.024899
0,1,4.028743
0,2,4.031897
0,2,4.034897
0,1,4.036893
0,1,4.037901
1,1,4.039899
0,2,4.04291
1,1,4.044899
0,2,4.047904
1,3,4.052945
1,1,4.054901
1,1,4.056898
1,1,4.058944
0,1,4.059942
1,1,4.061985
0,1,4.063903
0,3,4.068903
0,2,4.072951
0,1,4.074956
0,2,4.079902
1,1,4.082246
0,2,4.085263
1,2,4.089267
0,1,4.090307
1,1,4.092262
0,3,4.09727
1,1,4.105265
0,4,4.114267
1,1,4.116264
0,1,4.118264
1,1,4.120272
1,1,4.121272
1,3,4.127276
1,2,4.13127
0,1,4.133272
0,1,4.134262
0,1,4.136318
0,1,4.137322
0,1,4.139269
1,1,4.141263
1,1,4.142263
0,3,4.147318
0,2,4.152263
1,2,4.156265
1,4,4.164308
1,1,4.165323
1,2,4.168308
0,1,4.170264
0,4,4.177267
1,3,4.182369
0,1,4.184434
0,2,4.187391
0,2,4.190393
1,1,4.192391
0,2,4.195393
0,1,4.197389
0,2,4.20241
1,1,4.204396
0,2,4.207388
0,3,4.212386
0,2,4.215382
0,3,4.220387
0,1,4.222391
0,1,4.224436
1,1,4.225436
0,2,4.229429
0,1,4.231387
1,3,4.237386
1,1,4.238533
1,3,4.242388
0,2,4.245455
0,1,4.24739
0,3,4.252393
1,1,4.25343
0,2,4.257387
1,1,4.258386
0,1,4.260394
0,3,4.26539
0,3,4.270396
1,1,4.271397
1,1,4.273387
0,1,4.274388
0,4,4.283432
0,2,4.289387
0,1,4.290478
1,1,4.292388
0,1,4.294431
0,3,4.299432
0,1,4.300431
0,2,4.304435
0,2,4.308074
1,1,4.309544
1,1,4.310387
0,1,4.31239
0,1,4.314432
1,1,4.315432
1,3,4.321493
1,2,4.324433
1,1,4.326391
1,1,4.327446
0,2,4.331387
1,1,4.332387
0,1,4.33468
1,2,4.337467
0,1,4.339445
1,1,4.340449
1,2,4.344388
0,1,4.345387
0,1,4.347392
1,3,4.353431
0,3,4.358387
1,1,4.360399
1,1,4.36239
1,1,4.363432
0,1,4.365391
1,1,4.36643
0,1,4.368392
0,4,4.375443
0,6,4.385432
1,1,4.386388
1,1,4.388442
0,1,4.389439
0,1,4.391422
1,1,4.392443
0,2,4.395391
0,4,4.40439
1,5,4.420432
1,3,4.425387
0,3,4.430384
0,1,4.43144
1,3,4.436387
0,1,4.438385
0,1,4.440433
0,1,4.44145
1,1,4.443432
1,4,4.453391
0,1,4.455434
0,1,4.456444
1,1,4.458433
0,2,4.461391
0,3,4.466432
0,2,4.469391
1,4,4.476443
0,11,4.499433
1,1,4.500459
1,1,4.502392
1,1,4.504396
1,1,4.505391
1,1,4.507388
0,1,4.509397
0,3,4.514388
1,1,4.516392
1,1,4.517387
1,1,4.518767
0,2,4.521387
0,1,4.522424
0,1,4.523429
1,1,4.524384
1,3,4.529391
0,2,4.532443
0,1,4.534443
1,1,4.535446
1,1,4.537432
1,1,4.538626
0,3,4.543442
0,2,4.547502
0,2,4.550444
0,1,4.552387
1,3,4.557396
0,2,4.562387
0,1,4.564388
0,1,4.56639
0,1,4.568432
0,2,4.571386
1,1,4.573387
1,1,4.574389
0,1,4.576435
0,1,4.577432
0,1,4.579396
0,1,4.581428
1,1,4.582721
1,1,4.58374
0,2,4.588744
0,1,4.59074
1,1,4.59174
1,1,4.593736
1,1,4.595746
0,2,4.59974
0,2,4.602743
0,1,4.604784
0,1,4.605748
1,3,4.614738
1,1,4.61674
1,1,4.617737
1,1,4.619744
0,2,4.622746
1,1,4.624743
0,1,4.625789
0,2,4.628743
1,3,4.634785
1,1,4.635746
0,2,4.639742
1,1,4.640797
1,1,4.642744
1,1,4.643801
1,1,4.645749
1,1,4.64774
1,1,4.64874
1,2,4.65174
1,3,4.657306
1,1,4.658961
0,1,4.660739
1,1,4.661737
0,4,4.669784
1,2,4.673796
0,1,4.677742
1,1,4.679741
0,1,4.681742
0,1,4.684248
1,1,4.685261
0,3,4.690286
0,5,4.699295
0,1,4.700247
0,1,4.702296
1,1,4.703256
1,1,4.705247
1,4,4.720305
0,3,4.725305
1,2,4.728661
0,1,4.730319
0,1,4.732351
0,2,4.735388
0,1,4.737309
0,1,4.739352
0,2,4.742304
0,1,4.74436
0,2,4.747304
1,1,4.749351
0,2,4.75231
1,1,4.754315
0,1,4.755306
1,1,4.757363
1,1,4.758356
0,2,4.763351
1,4,4.770366
0,1,4.772313
0,1,4.774307
1,5,4.781341
0,2,4.783303
0,3,4.787306
0,3,4.79236
0,2,4.796371
0,3,4.802309
0,1,4.803362
0,3,4.809364
0,1,4.812354
1,1,4.814365
0,1,4.816317
0,4,4.82435
0,3,4.830315
1,1,4.832304
1,1,4.833309
1,1,4.83531
0,2,4.83931
0,4,4.845329
1,2,4.849312
0,1,4.851351
0,1,4.852325
1,1,4.854351
1,1,4.855347
0,1,4.857306
0,1,4.859313
1,1,4.860361
1,2,4.86431
1,1,4.865302
1,1,4.867306
0,3,4.872361
0,1,4.874314
1,1,4.876361
0,4,4.882363
1,1,4.884307
0,1,4.886361
0,1,4.888362
0,2,4.893352
0,2,4.898314
1,1,4.899316
1,1,4.901312
1,1,4.903312
1,1,4.904311
1,1,4.906312
0,3,4.911304
1,1,4.912304
1,1,4.914309
1,1,4.916305
1,1,4.917317
0,1,4.91931
1,3,4.926524
0,1,4.928666
1,1,4.930312
1,3,4.935307
1,1,4.937619
1,2,4.941314
0,3,4.94631
0,2,4.949352
1,1,4.951353
0,1,4.952351
0,1,4.955351
1,1,4.958308
0,2,4.963316
1,1,4.964308
1,2,4.968353
0,1,4.969325
0,1,4.971359
0,1,4.972358
0,1,4.974363
0,2,4.977306
0,1,4.979306
0,1,4.980307
0,1,4.982309
1,1,4.983352
0,1,4.98532
0,2,4.989351
0,1,4.991309
1,1,4.992316
0,2,4.996351
1,1,4.997308
0,1,5.006637
0,1,5.009634
0,1,5.010753
0,2,5.014632
1,4,5.021632
1,1,5.023633
1,1,5.024633
1,1,5.026634
1,2,5.028631
1,1,5.030632
0,1,5.031638
0,4,5.03964
1,1,5.040643
0,4,5.04864
0,3,5.05464
1,2,5.057637
1,2,5.060636
0,3,5.06669
0,2,5.069642
0,2,5.072689
0,2,5.076635
0,4,5.085272
1,3,5.091318
0,1,5.094277
0,1,5.095273
0,1,5.09732
1,1,5.098319
1,1,5.100276
1,1,5.10132
1,2,5.105273
1,2,5.108272
1,1,5.110278
0,2,5.113273
0,1,5.115277
0,1,5.117321
0,1,5.118443
0,3,5.124315
1,2,5.127319
1,3,5.133331
1,1,5.1353
0,2,5.139791
0,1,5.14142
1,1,5.14233
0,1,5.14428
0,1,5.146276
0,4,5.152318
0,1,5.154274
1,1,5.156315
0,1,5.157541
0,1,5.159272
0,3,5.164274
0,1,5.166272
1,1,5.169282
1,2,5.172331
1,2,5.176318
1,1,5.177332
1,1,5.179273
0,1,5.181271
0,1,5.182272
1,1,5.184271
0,3,5.188271
0,2,5.191305
1,1,5.192272
1,2,5.195293
0,6,5.204274
0,1,5.205278
0,2,5.207305
1,1,5.209277
1,1,5.210328
1,1,5.212269
1,2,5.216273
0,2,5.221124
0,1,5.222277
0,1,5.224318
0,2,5.227315
1,1,5.228594
0,1,5.230272
1,1,5.232277
0,3,5.237809
1,1,5.239276
0,2,5.242326
0,2,5.246319
1,1,5.247304
0,4,5.254281
0,2,5.257272
0,1,5.259315
0,3,5.264319
1,1,5.265329
0,3,5.270333
0,1,5.272329
1,1,5.273741
0,3,5.278277
1,2,5.281327
1,1,5.283278
0,1,5.284326
1,1,5.286277
0,1,5.287329
0,1,5.289279
1,1,5.291273
1,1,5.293332
1,1,5.303274
0,2,5.307274
0,2,5.310317
1,1,5.312273
0,2,5.316279
1,1,5.317278
0,1,5.319279
0,1,5.320279
1,1,5.322271
1,2,5.325279
1,1,5.326319
1,2,5.330151
1,1,5.331281
0,3,5.338275
0,1,5.340278
0,1,5.342271
0,2,5.34527
0,1,5.346617
1,1,5.347309
1,1,5.348317
0,2,5.350311
1,5,5.35563
0,1,5.357269
1,2,5.359273
1,3,5.36327
1,2,5.366278
0,2,5.369318
1,1,5.372275
0,1,5.374274
1,1,5.375554
1,2,5.379275
0,1,5.38027
1,1,5.382271
0,2,5.385272
0,1,5.38727
1,1,5.388271
1,2,5.39127
0,2,5.393289
1,1,5.395309
1,4,5.401319
1,1,5.402304
1,1,5.40432
0,1,5.405335
1,2,5.409318
1,1,5.410273
0,2,5.41433
1,2,5.419272
0,3,5.424273
1,1,5.425274
1,1,5.427272
1,1,5.429271
0,3,5.434274
1,2,5.437273
1,2,5.440277
0,1,5.441503
0,2,5.445271
1,1,5.446738
1,1,5.448272
0,2,5.451277
1,1,5.453277
1,2,5.456333
0,2,5.460277
0,2,5.46327
0,2,5.466273
1,1,5.468278
1,1,5.469331
0,3,5.474283
1,1,5.476272
0,2,5.479276
0,3,5.484318
0,1,5.48548
0,1,5.487273
1,3,5.492318
1,5,5.505274
1,1,5.507275
1,1,5.509391
1,1,5.510864
1,1,5.513419
0,2,5.516277
1,1,5.518278
1,1,5.52028
1,1,5.521318
0,2,5.524271
1,3,5.528275
1,2,5.53027
1,1,5.53162
1,2,5.534272
0,2,5.536279
0,1,5.538324
0,4,5.543482
0,3,5.547271
1,1,5.548271
0,3,5.551654
1,1,5.553472
1,1,5.554272
0,3,5.558332
0,2,5.562278
1,2,5.56532
0,2,5.568317
0,2,5.572277
0,2,5.58331
0,1,5.585333
1,1,5.586323
0,1,5.588325
1,5,5.596324
0,1,5.598322
0,2,5.601323
1,1,5.603322
0,4,5.609392
0,1,5.610369
1,1,5.612322
0,4,5.620471
1,1,5.622332
1,1,5.623335
0,2,5.627325
1,1,5.628507
0,1,5.630325
1,1,5.632368
0,1,5.633324
1,2,5.636369
1,1,5.638372
0,1,5.639822
1,1,5.641521
0,1,5.643322
1,2,5.646636
0,2,5.65037
0,3,5.65537
0,5,5.663488
0,1,5.665384
0,1,5.666333
0,2,5.669333
1,1,5.671334
0,4,5.678331
1,4,5.685333
1,1,5.686324
0,2,5.690378
0,1,5.694379
0,1,5.696332
1,2,5.700107
0,7,5.712324
0,1,5.713325
1,1,5.715334
1,1,5.717369
0,2,5.720536
0,3,5.725328
0,2,5.728553
1,1,5.730325
0,1,5.732325
0,1,5.733324
0,1,5.735421
0,2,5.740326
0,3,5.745328
0,1,5.747331
0,1,5.749325
0,1,5.750327
1,1,5.752327
1,1,5.753369
0,3,5.758369
1,1,5.760328
0,1,5.762333
1,1,5.763373
0,5,5.771379
1,1,5.773324
1,1,5.775366
0,1,5.776375
1,1,5.778427
1,1,5.779384
0,1,5.781323
1,1,5.782379
1,1,5.784328
0,1,5.786378
0,2,5.791326
1,1,5.793389
1,1,5.794938
1,1,5.796333
0,1,5.797333
1,1,5.799336
1,8,5.813325
0,2,5.816372
0,2,5.820329
0,2,5.825372
0,2,5.828322
1,3,5.833332
1,1,5.834334
1,9,5.850384
1,3,5.855339
0,2,5.858377
1,1,5.860383
1,1,5.861723
0,1,5.863373
1,1,5.864377
1,1,5.866328
1,2,5.869384
1,1,5.871367
1,1,5.87238
1,5,5.881325
0,1,5.882325
0,4,5.889328
0,4,5.895378
1,1,5.897333
1,1,5.903956
0,2,5.907912
1,6,5.917909
1,1,5.918906
0,5,5.927912
0,1,5.928911
1,1,5.930915
0,1,5.932965
1,4,5.938911
1,1,5.939967
0,1,5.941915
1,2,5.945142
0,4,5.954011
1,1,5.954955
1,1,5.956919
0,1,5.95896
0,4,5.964956
0,1,5.96692
1,1,5.967922
1,5,5.976464
0,2,5.979921
1,1,5.980966
1,2,5.984966
0,1,5.985918
1,2,5.989956
0,4,5.996968
1,1,5.998911
0,2,6.002914
1,1,6.003955
0,2,6.007956
1,1,6.008956
0,2,6.011918
0,3,6.016912
0,1,6.01795
1,1,6.020157
0,2,6.023417
0,1,6.024909
1,1,6.025969
1,1,6.028954
1,1,6.030956
1,1,6.031956
0,1,6.033956
0,2,6.036911
1,1,6.038919
1,6,6.048919
1,1,6.050915
0,1,6.052953
1,2,6.056193
0,2,6.058966
1,1,6.060919
1,1,6.062956
1,1,6.063919
1,4,6.070911
1,1,6.072911
0,1,6.073914
0,3,6.078911
0,2,6.081981
0,4,6.088947
1,3,6.093968
1,2,6.096915
1,1,6.09797
1,1,6.09991
0,1,6.101956
1,1,6.102915
0,4,6.111912
0,1,6.114056
1,1,6.115911
1,1,6.117956
0,2,6.121962
1,1,6.122935
0,3,6.128956
1,2,6.132953
1,1,6.134992
0,2,6.138966
0,1,6.140968
1,1,6.142956
1,1,6.144924
0,1,6.146919
0,1,6.148953
1,1,6.14991
0,1,6.151967
0,2,6.154958
1,4,6.161918
0,1,6.16292
0,3,6.167911
0,1,6.169919
1,1,6.170921
1,1,6.172922
1,1,6.174967
1,1,6.175964
0,1,6.1784
0,2,6.180963
1,1,6.182915
0,2,6.185967
0,1,6.188911
0,1,6.190911
0,1,6.192974
0,2,6.196953
1,1,6.198912
0,6,6.208915
1,1,6.215039
0,1,6.216914
0,4,6.222967
0,4,6.229911
0,5,6.240911
1,1,6.242959
1,1,6.24396
0,1,6.245915
1,1,6.247917
1,1,6.248934
0,4,6.256335
1,7,6.269974
0,2,6.274912
1,1,6.275911
1,1,6.277966
0,2,6.281914
0,1,6.282972
0,2,6.286957
0,2,6.289913
1,1,6.29097
1,1,6.292911
0,1,6.29407
1,2,6.298003
1,1,6.299007
0,4,6.306002
1,2,6.310006
1,1,6.313003
1,4,6.320003
1,5,6.328051
0,1,6.32905
0,1,6.331001
1,1,6.333003
1,1,6.334627
1,3,6.340058
0,1,6.342006
0,2,6.346002
1,1,6.347043
1,1,6.349008
0,1,6.350165
0,3,6.355048
0,2,6.358001
1,2,6.361788
1,1,6.363011
1,2,6.366003
0,2,6.370007
1,6,6.380016
0,1,6.381058
0,3,6.386013
0,4,6.393011
